dock_strategy,maintenance_policy,seed,shift_hours,missions_total,missions_per_robot,availability_pct,avg_active_s,avg_charging_s,avg_queued_s,avg_failed_s,avg_repair_s,unplanned_downtime_pct,mtbf_h,mttr_h,n_failures,n_planned_repairs,n_unplanned_repairs,n_anomalies,predictive_lead_time_min,false_positive_rate,dock_queue_time_s_avg,dock_queue_time_s_median,unplanned_failures,empty_travel_to_dock_m_avg,dock_collisions,config_label
greedy,reactive,42,8.0,1623,541,59.95,12227.0,3062.0,0.0,61.0,11472.0,40.05,8.0,3.19,3,0,3,0,0.0,0.0,33.0,29.0,3,22.9,0,Baseline (старе)
greedy,reactive,43,8.0,1854,618,67.78,14097.0,3165.0,606.0,61.0,8611.0,30.11,8.0,2.98,3,0,3,0,0.0,0.0,395.4,31.0,3,22.1,1,Baseline (старе)
greedy,reactive,44,8.0,1553,517.67,54.91,10811.0,3162.0,0.0,81.0,12906.0,45.09,5.41,2.84,4,0,4,0,0.0,0.0,26.6,22.0,4,18.1,0,Baseline (старе)
greedy,reactive,45,8.0,1742,580.67,58.24,12380.0,2324.0,922.0,61.0,11043.0,38.56,8.0,3.07,3,0,3,0,0.0,0.0,447.8,28.5,3,20.3,3,Baseline (старе)
greedy,reactive,46,8.0,1764,588,59.47,12901.0,2110.0,1450.0,61.0,10161.0,35.49,8.0,2.82,3,0,3,0,0.0,0.0,6305.0,5860.0,3,13.0,2,Baseline (старе)
greedy,reactive,47,8.0,1567,522.33,57.41,12080.0,2528.0,447.0,61.0,11760.0,41.04,8.0,3.27,3,0,3,0,0.0,0.0,356.5,21.5,3,14.8,1,Baseline (старе)
greedy,reactive,48,8.0,1892,630.67,69.31,13882.0,3799.0,732.0,61.0,8047.0,28.15,8.0,2.24,3,0,3,0,0.0,0.0,399.8,124.5,3,23.4,3,Baseline (старе)
greedy,reactive,49,8.0,1650,550,58.28,11960.0,2849.0,0.0,61.0,11955.0,41.72,8.0,3.61,3,0,3,0,0.0,0.0,31.6,34.0,3,22.1,0,Baseline (старе)
greedy,reactive,50,8.0,988,329.33,34.34,7799.0,869.0,7111.0,61.0,11739.0,40.97,8.0,3.26,3,0,3,0,0.0,0.0,11471.5,11471.5,3,18.7,3,Baseline (старе)
greedy,reactive,51,8.0,2108,702.67,70.67,14702.0,3164.0,848.0,61.0,7537.0,26.38,8.0,3.54,3,0,3,0,0.0,0.0,538.4,39.0,3,20.1,2,Baseline (старе)
greedy,reactive,52,8.0,1814,604.67,65.5,13615.0,3047.0,1467.0,61.0,8407.0,29.4,8.0,2.34,3,0,3,0,0.0,0.0,4201.0,262.5,3,17.1,3,Baseline (старе)
greedy,reactive,53,8.0,1886,628.67,63.99,13637.0,2532.0,0.0,61.0,10311.0,36.01,8.0,2.86,3,0,3,0,0.0,0.0,32.8,32.5,3,22.8,0,Baseline (старе)
greedy,reactive,54,8.0,1217,405.67,32.73,7460.0,592.0,8230.0,61.0,11083.0,38.69,8.0,3.08,3,0,3,0,0.0,0.0,29.0,29.0,3,20.0,2,Baseline (старе)
greedy,reactive,55,8.0,2050,683.33,67.86,14696.0,2406.0,862.0,61.0,8334.0,29.15,8.0,3.11,3,0,3,0,0.0,0.0,546.8,39.0,3,20.3,2,Baseline (старе)
greedy,reactive,56,8.0,1315,438.33,48.45,10019.0,2339.0,5267.0,61.0,9517.0,33.26,8.0,2.64,3,0,3,0,0.0,0.0,11023.0,12478.0,3,16.6,3,Baseline (старе)
greedy,reactive,57,8.0,1919,639.67,65.57,13942.0,2641.0,486.0,61.0,9367.0,32.74,8.0,2.78,3,0,3,0,0.0,0.0,329.0,54.0,3,26.0,2,Baseline (старе)
greedy,reactive,58,8.0,2070,690,72.59,15246.0,3160.0,341.0,61.0,7492.0,26.23,8.0,2.72,3,0,3,0,0.0,0.0,226.2,24.0,3,14.5,1,Baseline (старе)
greedy,reactive,59,8.0,1879,626.33,67.04,13845.0,3199.0,146.0,61.0,9285.0,32.45,8.0,2.58,3,0,3,0,0.0,0.0,104.0,40.5,3,21.5,1,Baseline (старе)
greedy,reactive,60,8.0,1676,558.67,60.99,12384.0,3163.0,0.0,61.0,11173.0,39.01,8.0,2.9,3,0,3,0,0.0,0.0,26.0,24.0,3,18.2,0,Baseline (старе)
greedy,reactive,61,8.0,1877,625.67,67.88,13734.0,3560.0,45.0,61.0,9145.0,31.97,8.0,2.54,3,0,3,0,0.0,0.0,52.5,31.0,3,20.7,1,Baseline (старе)
greedy,reactive,62,8.0,1692,564,58.01,12107.0,2582.0,196.0,61.0,11835.0,41.31,8.0,3.29,3,0,3,0,0.0,0.0,150.6,32.0,3,22.5,1,Baseline (старе)
greedy,reactive,63,8.0,1813,604.33,66.16,13438.0,3424.0,565.0,61.0,9119.0,31.87,8.0,2.53,3,0,3,0,0.0,0.0,3132.7,28.0,3,15.7,1,Baseline (старе)
greedy,reactive,64,8.0,1834,611.33,64.55,13814.0,2546.0,92.0,61.0,10057.0,35.13,8.0,3.19,3,0,3,0,0.0,0.0,82.0,28.0,3,18.4,1,Baseline (старе)
greedy,reactive,65,8.0,1795,598.33,59.66,12898.0,2142.0,1624.0,61.0,9932.0,34.7,8.0,2.59,3,0,3,0,0.0,0.0,316.0,71.5,3,21.6,3,Baseline (старе)
greedy,reactive,66,8.0,1949,649.67,67.64,14269.0,2872.0,958.0,61.0,8300.0,29.03,8.0,2.37,3,0,3,0,0.0,0.0,601.0,27.0,3,18.1,2,Baseline (старе)
greedy,reactive,67,8.0,1254,418,46.83,10029.0,1898.0,694.0,81.0,14537.0,50.76,5.04,3.2,4,0,4,0,0.0,0.0,721.0,841.0,4,18.8,2,Baseline (старе)
greedy,reactive,68,8.0,1900,633.33,62.05,13347.0,2273.0,0.0,61.0,10870.0,37.95,8.0,3.02,3,0,3,0,0.0,0.0,29.8,26.0,3,20.5,0,Baseline (старе)
greedy,reactive,69,8.0,2264,754.67,79.19,16306.0,3801.0,537.0,61.0,5394.0,18.94,8.0,2.0,3,0,3,0,0.0,0.0,305.5,37.5,3,25.7,1,Baseline (старе)
greedy,reactive,70,8.0,1985,661.67,70.27,14364.0,3493.0,863.0,81.0,7617.0,26.73,7.54,2.29,4,0,4,0,0.0,0.0,463.0,37.0,4,21.9,2,Baseline (старе)
greedy,reactive,71,8.0,2266,755.33,73.36,15321.0,3165.0,0.0,41.0,7631.0,26.64,8.0,0.0,2,0,2,0,0.0,0.0,32.6,31.0,2,22.5,0,Baseline (старе)
allocator,reactive,42,8.0,1623,541,59.95,12227.0,3063.0,0.0,61.0,11472.0,40.05,8.0,3.19,3,0,3,0,0.0,0.0,32.6,29.0,3,22.7,0,+ Allocator only
allocator,reactive,43,8.0,1916,638.67,69.89,14627.0,3165.0,0.0,61.0,8611.0,30.11,8.0,2.98,3,0,3,0,0.0,0.0,31.4,31.0,3,22.0,0,+ Allocator only
allocator,reactive,44,8.0,1553,517.67,54.91,10811.0,3162.0,0.0,81.0,12906.0,45.09,5.41,2.84,4,0,4,0,0.0,0.0,26.6,22.0,4,18.1,0,+ Allocator only
allocator,reactive,45,8.0,1700,566.67,59.19,12424.0,2586.0,0.0,81.0,11672.0,40.81,3.35,2.83,4,0,4,0,0.0,0.0,27.8,25.0,4,19.1,0,+ Allocator only
allocator,reactive,46,8.0,1950,650,64.51,13848.0,2417.0,0.0,61.0,10161.0,35.49,8.0,2.82,3,0,3,0,0.0,0.0,5350.6,29.0,3,17.1,0,+ Allocator only
allocator,reactive,47,8.0,1641,547,58.96,12448.0,2528.0,0.0,61.0,11760.0,41.04,8.0,3.27,3,0,3,0,0.0,0.0,21.5,21.5,3,14.8,0,+ Allocator only
allocator,reactive,48,8.0,1968,656,71.85,14520.0,3797.0,0.0,61.0,8047.0,28.15,8.0,2.24,3,0,3,0,0.0,0.0,31.7,33.0,3,21.8,0,+ Allocator only
allocator,reactive,49,8.0,1650,550,58.28,11960.0,2849.0,0.0,61.0,11955.0,41.72,8.0,3.61,3,0,3,0,0.0,0.0,31.6,34.0,3,22.1,0,+ Allocator only
allocator,reactive,50,8.0,1664,554.67,59.03,12444.0,2536.0,0.0,61.0,11739.0,40.97,8.0,3.26,3,0,3,0,0.0,0.0,4602.4,26.0,3,16.9,0,+ Allocator only
allocator,reactive,51,8.0,2210,736.67,73.62,15432.0,3164.0,0.0,61.0,7537.0,26.38,8.0,3.54,3,0,3,0,0.0,0.0,29.4,28.0,3,20.0,0,+ Allocator only
allocator,reactive,52,8.0,2000,666.67,69.45,14573.0,3029.0,330.0,61.0,8407.0,29.4,8.0,2.34,3,0,3,0,0.0,0.0,4479.0,38.0,3,23.9,0,+ Allocator only
allocator,reactive,53,8.0,1886,628.67,63.99,13637.0,2532.0,0.0,61.0,10311.0,36.01,8.0,2.86,3,0,3,0,0.0,0.0,32.8,32.5,3,22.8,0,+ Allocator only
allocator,reactive,54,8.0,1668,556,55.75,11603.0,2490.0,0.0,81.0,12663.0,44.25,6.02,3.08,4,0,4,0,0.0,0.0,30.8,27.0,4,21.4,0,+ Allocator only
allocator,reactive,55,8.0,2119,706.33,70.85,15065.0,2825.0,0.0,61.0,8334.0,29.15,8.0,3.11,3,0,3,0,0.0,0.0,28.0,26.0,3,19.2,0,+ Allocator only
allocator,reactive,56,8.0,1966,655.33,66.74,14405.0,2458.0,0.0,61.0,9517.0,33.26,8.0,2.64,3,0,3,0,0.0,0.0,4260.8,26.5,3,15.8,0,+ Allocator only
allocator,reactive,57,8.0,1924,641.33,67.26,13988.0,3074.0,0.0,61.0,9367.0,32.74,8.0,2.78,3,0,3,0,0.0,0.0,36.4,47.0,3,25.5,0,+ Allocator only
allocator,reactive,58,8.0,2099,699.67,73.77,15547.0,3161.0,0.0,61.0,7492.0,26.23,8.0,2.72,3,0,3,0,0.0,0.0,21.8,21.0,3,14.9,0,+ Allocator only
allocator,reactive,59,8.0,1879,626.33,67.55,13845.0,3346.0,0.0,61.0,9285.0,32.45,8.0,2.58,3,0,3,0,0.0,0.0,31.2,36.0,3,21.6,0,+ Allocator only
allocator,reactive,60,8.0,1676,558.67,60.99,12384.0,3163.0,0.0,61.0,11173.0,39.01,8.0,2.9,3,0,3,0,0.0,0.0,26.0,24.0,3,18.2,0,+ Allocator only
allocator,reactive,61,8.0,1877,625.67,68.03,13734.0,3605.0,0.0,61.0,9145.0,31.97,8.0,2.54,3,0,3,0,0.0,0.0,29.8,31.0,3,20.7,0,+ Allocator only
allocator,reactive,62,8.0,1692,564,58.69,12106.0,2779.0,0.0,61.0,11835.0,41.31,8.0,3.29,3,0,3,0,0.0,0.0,32.6,32.0,3,22.3,0,+ Allocator only
allocator,reactive,63,8.0,1913,637.67,68.13,13920.0,3404.0,0.0,61.0,9119.0,31.87,8.0,2.53,3,0,3,0,0.0,0.0,22.2,28.0,3,15.1,0,+ Allocator only
allocator,reactive,64,8.0,1851,617,64.87,13890.0,2546.0,0.0,61.0,10057.0,35.13,8.0,3.19,3,0,3,0,0.0,0.0,26.2,28.0,3,18.2,0,+ Allocator only
allocator,reactive,65,8.0,1850,616.67,65.3,13455.0,3132.0,0.0,61.0,9932.0,34.7,8.0,2.59,3,0,3,0,0.0,0.0,29.6,27.0,3,20.6,0,+ Allocator only
allocator,reactive,66,8.0,2007,669,70.97,14791.0,3231.0,0.0,61.0,8300.0,29.03,8.0,2.37,3,0,3,0,0.0,0.0,28.2,27.0,3,19.6,0,+ Allocator only
allocator,reactive,67,8.0,1288,429.33,49.24,10344.0,2232.0,0.0,81.0,14537.0,50.76,5.04,3.2,4,0,4,0,0.0,0.0,27.2,26.5,4,18.8,0,+ Allocator only
allocator,reactive,68,8.0,1900,633.33,62.05,13347.0,2273.0,0.0,61.0,10870.0,37.95,8.0,3.02,3,0,3,0,0.0,0.0,29.8,26.0,3,20.5,0,+ Allocator only
allocator,reactive,69,8.0,2310,770,81.06,16779.0,3801.0,0.0,61.0,5394.0,18.94,8.0,2.0,3,0,3,0,0.0,0.0,37.0,35.5,3,25.8,0,+ Allocator only
allocator,reactive,70,8.0,2059,686.33,73.27,14840.0,3798.0,0.0,81.0,7617.0,26.73,7.54,2.29,4,0,4,0,0.0,0.0,31.3,31.0,4,21.8,0,+ Allocator only
allocator,reactive,71,8.0,2266,755.33,73.36,15321.0,3165.0,0.0,41.0,7631.0,26.64,8.0,0.0,2,0,2,0,0.0,0.0,32.6,31.0,2,22.5,0,+ Allocator only
greedy,predictive,42,8.0,1914,638,71.7,14759.0,3547.0,162.0,41.0,7947.0,27.73,8.0,2.21,2,1,2,1,0.0,0.0,113.0,33.0,2,22.1,1,+ Predictive only
greedy,predictive,43,8.0,1534,511.33,50.67,10720.0,2057.0,5671.0,41.0,8494.0,29.64,8.0,2.36,2,1,2,1,0.8,0.0,10900.5,13212.5,2,25.4,3,+ Predictive only
greedy,predictive,44,8.0,1745,581.67,61.87,12805.0,2915.0,0.0,61.0,10920.0,38.13,8.0,2.28,3,1,3,1,0.2,0.0,20.8,22.0,3,13.8,0,+ Predictive only
greedy,predictive,45,8.0,2013,671,68.11,13847.0,3402.0,746.0,41.0,8399.0,29.31,8.0,1.75,2,2,2,2,0.0,0.0,403.8,36.5,2,21.3,2,+ Predictive only
greedy,predictive,46,8.0,1888,629.33,68.96,14425.0,3132.0,437.0,41.0,8462.0,29.52,8.0,1.76,2,2,2,2,1.1,0.0,3763.6,25.0,2,17.0,1,+ Predictive only
greedy,predictive,47,8.0,2515,838.33,87.64,18426.0,3795.0,447.0,20.0,3093.0,10.81,8.0,0.6,1,3,1,3,0.7,0.0,250.2,26.0,1,18.6,1,+ Predictive only
greedy,predictive,48,8.0,2453,817.67,86.42,17825.0,4123.0,1550.0,20.0,2340.0,8.19,8.0,0.45,1,4,1,4,0.6,0.0,699.4,143.0,1,24.1,4,+ Predictive only
greedy,predictive,49,8.0,2370,790,86.13,18007.0,3911.0,0.0,20.0,3973.0,13.87,8.0,1.1,1,2,1,2,0.7,0.0,30.1,32.0,1,21.0,0,+ Predictive only
greedy,predictive,50,8.0,988,329.33,34.34,7799.0,869.0,7111.0,61.0,11739.0,40.97,8.0,3.26,3,0,3,0,0.0,0.0,11471.5,11471.5,3,18.7,3,+ Predictive only
